branches,releases,forks,watchers,stargazers,contributors,size,vp-category-equalfreq
1.3862943611198906,7,1.6094379124341005,3.784189633918261,2.9444389791664403,1.791759469228055,3775,0
1.9459101490553132,11,3.4011973816621555,2.70805020110221,5.342334251964811,2.3978952727983707,452,1
1.9459101490553132,30,4.90527477843843,1.791759469228055,6.39024066706535,3.258096538021482,6527,0
1.791759469228055,30,2.4849066497880004,1.3862943611198906,4.77912349311153,1.6094379124341005,1324,1
1.0986122886681098,3,0.0,1.0986122886681098,2.833213344056216,1.0986122886681098,731,0
1.3862943611198906,3,3.6635616461296463,2.5649493574615367,4.330733340286331,1.3862943611198906,1144,1
2.833213344056216,30,4.983606621708336,1.6094379124341005,6.2324480165505225,3.4339872044851463,15362,1
3.4339872044851463,14,4.007333185232471,3.044522437723423,4.90527477843843,3.091042453358316,3931,0
3.4339872044851463,27,4.663439094112067,3.091042453358316,5.575949103146316,3.4339872044851463,31595,1
2.995732273553991,3,2.6390573296152584,2.833213344056216,3.58351893845611,2.833213344056216,19875,0
3.091042453358316,8,3.58351893845611,3.091042453358316,4.51085950651685,3.091042453358316,35689,1
3.367295829986474,2,2.4849066497880004,2.5649493574615367,2.4849066497880004,2.772588722239781,36618,1
3.295836866004329,1,4.48863636973214,2.5649493574615367,4.406719247264253,2.5649493574615367,3500,0
1.0986122886681098,5,1.6094379124341005,1.0986122886681098,3.1354942159291497,1.9459101490553132,758,0
2.0794415416798357,30,4.30406509320417,1.6094379124341005,5.0238805208462765,2.772588722239781,1151,1
0.6931471805599453,9,3.044522437723423,0.6931471805599453,3.688879454113936,1.6094379124341005,5316,0
0.6931471805599453,30,1.6094379124341005,1.0986122886681098,2.6390573296152584,1.0986122886681098,13895,1
2.0794415416798357,30,1.0986122886681098,1.0986122886681098,2.995732273553991,2.772588722239781,25860,1
1.0986122886681098,4,1.9459101490553132,1.9459101490553132,3.091042453358316,1.791759469228055,127,0
1.6094379124341005,30,2.772588722239781,2.1972245773362196,3.828641396489095,2.8903717578961645,34547,1
0.6931471805599453,30,3.044522437723423,1.6094379124341005,3.828641396489095,1.9459101490553132,1232,0
