,F1-score,Accuracy,ROC-AUC
RandomForest,"(np.float64(0.6908498463266534), np.float64(0.166898481834199))","(np.float64(0.7246341463414634), np.float64(0.14878724494851506))","(np.float64(0.7548124857598542), np.float64(0.1821357169300741))"
XGBoost,"(np.float64(0.7064005286917769), np.float64(0.24585389751273137))","(np.float64(0.7422682926829268), np.float64(0.21547592138061392))","(np.float64(0.7486573251310094), np.float64(0.21264561668060292))"
SVM,"(np.float64(0.11621950315165), np.float64(0.2130031253271499))","(np.float64(0.5470243902439024), np.float64(0.035803980848731036))","(np.float64(0.5663483709273183), np.float64(0.07210547924169326))"
NaiveBayes,"(np.float64(0.4105758502401743), np.float64(0.11866787011620979))","(np.float64(0.5796829268292683), np.float64(0.03531734267516088))","(np.float64(0.5979188881294145), np.float64(0.01539392652544868))"
LogisticRegression,"(np.float64(0.5971435703288831), np.float64(0.04925438693839999))","(np.float64(0.5569756097560976), np.float64(0.07523504315951948))","(np.float64(0.6237717019822282), np.float64(0.043769671373381475))"
