,F1-score,Accuracy,ROC-AUC
RandomForest,"(np.float64(0.6656191203104538), np.float64(0.15613034857392663))","(np.float64(0.7110243902439025), np.float64(0.13231979540866098))","(np.float64(0.7439229892914103), np.float64(0.18160398715335677))"
XGBoost,"(np.float64(0.7048782082014856), np.float64(0.24348643635668007))","(np.float64(0.7384146341463415), np.float64(0.21565577259746688))","(np.float64(0.7424269765322397), np.float64(0.2160598038135493))"
SVM,"(np.float64(0.38735428717854914), np.float64(0.08076644371563531))","(np.float64(0.5825609756097562), np.float64(0.028826544380416482))","(np.float64(0.6184625199362042), np.float64(0.04262435710361759))"
NaiveBayes,"(np.float64(0.4105758502401743), np.float64(0.11866787011620979))","(np.float64(0.5796829268292683), np.float64(0.03531734267516088))","(np.float64(0.5979188881294145), np.float64(0.01539392652544868))"
LogisticRegression,"(np.float64(0.5859301216288206), np.float64(0.05416486092366573))","(np.float64(0.6267560975609756), np.float64(0.03484209301359652))","(np.float64(0.6386265664160401), np.float64(0.025337199308893256))"
