repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics
devcyclehq,feature-flag-code-usage-action,code review,419,0,0,2,1,3," cwe-1333,  cwe-259,  cwe-321,  cwe-798, cwe-020",3.0,30,7,16,4,6,19,11,1306,30,2,30,2,1306000,15," continuous-deployment,  devcycle,  devops,  feature-flags,  feature-toggles,  openfeature, continuous-delivery"
devcyclehq,feature-flag-pr-insights-action,code review,403,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,10,20,3,6,19,10,1668,30,5,30,4,1668000,17," continuous-deployment,  devcycle,  devops,  feature-flags,  feature-toggles,  openfeature, continuous-delivery"
dopplerhq,cli-action,security,15,3,0,0,0,3," cwe-284, cwe-200",3.0,29,3,3,9,4,52,3,1589,12,2,12,2,1589000,10," environment-variables,  secret-management,  secrets,  secrets-manager,  security, doppler-cli"
expediagroup,github-helpers,utilities,70,0,4,7,0,11," cwe-080,  cwe-116, cwe-020",11.0,30,2,30,29,3,35,22,11017,30,3,30,2,11017000,23," github-actions,  oss-portal-listed,  workflows, ci"
expediagroup,spinnaker-pipeline-trigger,project management,755,0,2,6,3,11," cwe-1333,  cwe-184,  cwe-400,  cwe-476,  cwe-94, cwe-020",11.0,30,13,9,8,3,15,7,3285,30,11,30,7,3285000,15," oss-portal-listed,  spinnaker, actions"
grantbirki,git-diff-action,utilities,47,0,1,1,0,2," cwe-078,  cwe-088, cwe-020",2.0,30,1,20,3,2,16,4,2018,30,1,30,0,2018000,10," automation,  git-diff,  json, actions"
greentf,upload-thunderstore-package,publishing,6,0,0,0,0,0,nan,0.0,30,5,16,4,2,15,3,174,30,0,16,0,174000,9," thunderstore, northstar"
hardnorth,github-version-generate,publishing,37,0,1,2,0,3," cwe-080,  cwe-116, cwe-020",3.0,30,2,9,3,2,24,2,1391,30,0,30,0,1391000,10," bump,  bump-version,  bumping,  bumpversion,  generate,  github,  prerelease,  release,  release-automation,  release-pipelines,  version,  versioning, actions"
hatsunemiku3939,direnv-action,testing,71,0,1,5,0,6," cwe-338,  cwe-400,  cwe-730, cwe-020",6.0,30,4,8,12,3,27,3,5226,30,8,30,3,5226000,11,nan
jamesives,fetch-api-data-action,utilities,473,1,0,1,0,2," cwe-770, cwe-1333",2.0,30,7,27,13,2,115,7,35535,30,3,30,2,35535000,23," actions,  api,  cicd,  continuous-delivery,  fetch,  github-action,  github-actions,  github-actions-typescript,  hacktoberfest,  workflow,  workflow-configuration, action"
jamesives,github-pages-deploy-action,deployment,509,1,0,1,0,2," cwe-770, cwe-1333",2.0,30,14,30,367,18,4352,30,85019,30,9,30,3,85019000,30," actions,  cicd,  continuous-delivery,  continuous-deployment,  continuous-integration,  deploy,  deployer,  deployment,  gh-pages,  ghpages,  github-action,  github-actions,  github-enterprise,  github-pages,  hacktoberfest,  static,  workflow,  workflow-configuration,  workflow-runs, action"
jarvusinnovations,background-action,utilities,34,0,1,2,0,3," cwe-088,  cwe-312,  cwe-359,  cwe-532,  cwe-918, cwe-078",3.0,30,4,5,10,5,33,7,2378,30,6,30,2,2378000,12," bg,  command,  fg,  logging,  process,  wait-on, background"
