repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
azure,mysql,deployment,44,6.0,28,2,11,12,11,15,36618,30,16,30,16,36618000,1,Automate your GitHub workflows using Azure Action for MySQL,TypeScript,MIT License,True,True,11.0,57,54.0,11.0,12.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure,pipelines,deployment,8,1.0,26,1,88,12,81,12,3500,30,46,30,19,3500000,0,Enable GitHub developers to trigger Azure Pipelines from a GitHub Actions workflow,TypeScript,MIT License,True,True,80.0,42,100.0,89.0,12.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balastrong,chess-stats-action,utilities,9,3.0,2,5,4,2,22,6,758,20,3,11,0,758000,1,♟️ Automatically update your README.md with Chess.com games and stats - fully customizable,TypeScript,MIT License,False,False,22.0,550,20.0,4.0,2.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
betahuhn,deploy-to-vercel-action,deployment,161,10.0,7,30,73,4,151,15,1151,30,15,30,6,1151000,2,🎬▲ Deploy your project to Vercel using GitHub Actions. Supports PR previews and GitHub deployments.,JavaScript,MIT License,False,False,152.0,399,371.0,74.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhacaz,docs-as-code-confluence,utilities,49,3.0,1,9,20,1,39,4,5316,19,3,12,0,5316000,1,Publish the content of a folder to confluence Github Action,JavaScript,MIT License,False,False,41.0,50,19.0,20.0,1.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocobo1,setup-ccache-action,utilities,83,13.0,1,30,4,2,13,2,13895,20,1,9,0,13895000,2,"Setup ccache easily in your workflow, with all the tuning knobs you need!",TypeScript,MIT License,False,True,13.0,119,20.0,4.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circleci-public,trigger-circleci-pipeline-action,deployment,36,4.0,13,10,43,13,49,15,447,30,21,30,5,447000,1,,,,,,,50,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberbeni,install-swift-tool,utilities,432,4.0,7,30,2,2,19,15,25860,30,3,30,1,25860000,1,GitHub Action to build and cache any Swift based tool in workflows.,TypeScript,MIT License,False,True,19.0,512,161.0,2.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclonedx,gh-node-module-generatebom,security,9,1.0,2,4,6,6,21,5,127,22,3,17,1,127000,0,GitHub action to generate a CycloneDX SBOM for Node.js,JavaScript,Apache License 2.0,True,True,21.0,37,22.0,6.0,6.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datadog,synthetics-ci-github-action,testing,856,11.0,4,30,15,8,45,17,34547,30,1,30,0,34547000,2,Use Browser and API tests in your CI/CD with Datadog Continuous Testing,TypeScript,Apache License 2.0,False,True,47.0,417,289.0,15.0,8.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
