repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
tyrrrz,action-http-request,utilities,9,0.0,1,1,5,2,15,2,33,9,0,9,0,33000,0,GitHub Action that sends an HTTP request,JavaScript,MIT License,False,True,17.0,27,9.0,5.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wandalen,wretry.action,deployment,16,0.0,2,30,24,4,107,8,9202,30,4,30,0,9202000,0,Retry action for Github CI,JavaScript,MIT License,False,False,108.0,431,183.0,24.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yockow,action-setup-swift,utilities,39,0.0,6,28,3,2,22,3,10133,30,0,30,0,10133000,0,GitHub Action that sets up Swift.,JavaScript,MIT License,False,True,22.0,238,87.0,3.0,2.0,"['JavaScript', 'TypeScript', 'Python', 'Swift', 'Shell']",1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
zqzqsb,multisourcesnake,utilities,1154,25.0,1,11,0,1,25,1,2657,0,0,0,0,2657000,2,,TypeScript,MIT License,False,False,26.0,21,0.0,0.0,1.0,"['TypeScript', 'Dockerfile']",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agallea,tests-coverage-report,code review,40,3.0,21,10,0,1,24,3,1340,30,7,30,4,1340000,1,Github action for tests coverage report,TypeScript,MIT License,False,True,25.0,64,43.0,0.0,1.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abel0b,setup-premake,continuous integration,10,2.0,2,6,6,3,17,6,203,11,0,7,0,203000,0,,,,,,,28,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeyuya,actions-mention-to-slack,chat,45,3.0,12,6,21,2,58,4,9103,30,11,30,10,9103000,1,Github Action for convert Github mention to Slack mention.,TypeScript,MIT License,False,True,58.0,645,302.0,21.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronin,ecr-retag-action,utilities,594,10.0,1,8,8,2,28,1,2206,10,2,6,1,2206000,2,:octocat: GitHub Action to retag existing Docker image in AWS ECR,JavaScript,MIT License,False,False,28.0,25,10.0,8.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antongolub,action-setup-bun,continuous integration,176,16.0,3,30,0,3,50,2,2331,30,2,30,2,2331000,2,Setup GitHub Actions workflow with a specific version of Bun,TypeScript,MIT License,False,True,50.0,229,131.0,0.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apexskier,github-release-commenter,utilities,614,28.0,5,30,4,3,24,3,2003,30,7,30,2,2003000,2,,,,,,,509,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquiladev,ipfs-action,deployment,396,14.0,8,29,46,3,179,4,31794,30,9,30,6,31794000,2,"GitHub Action for upload to IPFS. Supports Pinata, Infura pinning service as well as direct upload.",JavaScript,MIT License,False,True,180.0,238,78.0,46.0,3.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ardalanamini,auto-changelog,utilities,602,5.0,6,28,15,2,26,4,7842,30,8,30,5,7842000,1,Github Automatic Changelog action,TypeScript,MIT License,False,True,26.0,182,193.0,15.0,2.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arduino,arduino-lint-action,testing,92,1.0,5,4,9,10,47,9,4220,30,6,30,2,4220000,0,GitHub Actions action to check Arduino projects for problems,TypeScript,Apache License 2.0,True,True,47.0,996,462.0,9.0,10.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arduino,setup-arduino-cli,utilities,22,0.0,4,5,10,15,76,9,1073,30,2,30,1,1073000,0,GitHub Action to setup Arduino CLI,TypeScript,MIT License,True,True,76.0,98,74.0,10.0,15.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashutoshvarma,action-cmake-build,testing,5,1.0,27,1,10,2,24,3,871,30,31,30,14,871000,0,Github action for cmake based projects,TypeScript,MIT License,False,True,24.0,71,237.0,10.0,2.0,"['TypeScript', 'JavaScript', 'CMake', 'C++']",1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
ashutoshvarma,setup-ninja,utilities,62,13.0,8,2,7,1,15,3,1846,24,12,20,9,1846000,2,Set up your GitHub Actions workflow with a specific version of ninja,TypeScript,MIT License,False,True,15.0,31,24.0,7.0,1.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aslafy-z,conventional-pr-title-action,code review,126,1.0,9,30,35,3,85,7,16446,30,0,30,0,16446000,0,Ensure your PR title matches the Conventional Commits spec.,JavaScript,MIT License,False,False,87.0,169,310.0,35.0,3.0,"['JavaScript', 'Dockerfile']",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astral-sh,setup-uv,utilities,107,12.0,10,30,25,4,286,14,6462,30,13,30,1,6462000,2,Set up your GitHub Actions workflow with a specific version of https://docs.astral.sh/uv/,TypeScript,MIT License,False,False,308.0,205,299.0,27.0,4.0,"['TypeScript', 'Python', 'JavaScript']",1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atalent-labs,404-links,code quality,51,0.0,3,11,2,2,18,3,11655,30,2,30,2,11655000,0,🚨 | The only Github Action that will open pull request review when a broken link has been found in one of your markdown documentation.,JavaScript,MIT License,False,True,19.0,109,47.0,2.0,2.0,"['JavaScript', 'Dockerfile']",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlassian,gajira-create,project management,612,14.0,7,6,33,34,60,7,889,30,16,30,3,889000,2,,JavaScript,Other,False,True,61.0,43,55.0,33.0,34.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auguwu,clippy-action,utilities,5,2.0,1,9,3,1,18,4,4479,30,1,30,0,4479000,0,"🐻‍❄️📦 GitHub action to run Clippy, an up-to-date and modern version of actions-rs/clippy",TypeScript,Apache License 2.0,False,True,18.0,428,409.0,3.0,1.0,"['TypeScript', 'JavaScript', 'Rust']",1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
autero1,action-terragrunt,deployment,39,1.0,9,13,25,4,59,11,1404,30,6,30,3,1404000,0,GitHub action for setting up Terragrunt https://terragrunt.gruntwork.io,JavaScript,MIT License,False,True,59.0,201,430.0,27.0,4.0,"['JavaScript', 'TypeScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-actions,amazon-ecr-login,deployment,102,0.0,6,30,180,23,957,26,32618,30,32,30,2,32618000,0,Logs into Amazon ECR with the local Docker client.,JavaScript,MIT License,True,True,960.0,808,735.0,182.0,23.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-actions,amazon-ecs-render-task-definition,deployment,96,1.0,10,30,148,11,292,25,3468,30,30,30,3,3468000,0,Inserts a container image URI into an Amazon ECS task definition JSON file.,JavaScript,MIT License,True,True,292.0,322,368.0,149.0,11.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aws-actions,aws-secretsmanager-get-secrets,security,106,7.0,11,17,38,6,151,8,2739,30,16,30,8,2739000,2,,TypeScript,MIT No Attribution,True,True,156.0,60,236.0,40.0,6.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balena-io,deploy-to-balena-action,container ci,196,2.0,30,30,14,15,39,20,2922,30,31,30,4,2922000,0,Official Github action to deploy releases to balenaCloud environments,TypeScript,Apache License 2.0,False,True,39.0,707,403.0,14.0,15.0,"['TypeScript', 'JavaScript', 'Dockerfile', 'Shell']",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
batista,lint-filenames,utilities,36,4.0,12,3,6,2,31,3,1426,30,14,30,6,1426000,1,A simple github action that validates if all files in a given folder match the given regex pattern.,TypeScript,MIT License,False,True,31.0,174,416.0,5.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bazelbuild,setup-bazelisk,testing,76,9.0,1,4,9,5,56,7,1902,30,0,30,0,1902000,2,Set up your GitHub Actions workflow with a specific version of Bazelisk,TypeScript,MIT License,True,False,56.0,260,137.0,9.0,5.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benc-uk,workflow-dispatch,deployment,5,2.0,4,4,128,6,339,5,486,30,12,30,3,486000,0,"A GitHub Action for triggering workflows, using the `workflow_dispatch` event",TypeScript,MIT License,False,True,342.0,70,81.0,129.0,6.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark-action,github-action-benchmark,code quality,104,5.0,6,30,166,7,1064,30,5648,30,111,30,12,5648000,1,GitHub Action for continuous benchmarking to keep performance,TypeScript,MIT License,False,True,1071.0,409,284.0,166.0,7.0,"['TypeScript', 'JavaScript', 'Shell', 'HTML']",1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
biomejs,setup-biome,utilities,45,27.0,1,10,8,7,63,11,1288,30,1,30,0,1288000,2,Setup the Biome CLI in GitHub Actions,TypeScript,MIT License,False,False,65.0,242,225.0,8.0,7.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blombard,move-to-next-iteration,utilities,25,2.0,1,6,16,1,38,5,141,25,6,11,0,141000,0,Automatically move issues to next iteration,JavaScript,MIT License,False,True,40.0,54,29.0,17.0,1.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bobheadxi,deployments,deployment,36,2.0,9,24,63,7,387,25,32070,30,12,30,6,32070000,0,🔖 GitHub Action for working painlessly with deployment statuses,TypeScript,MIT License,False,True,387.0,104,147.0,63.0,7.0,"['TypeScript', 'JavaScript', 'Makefile']",1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
borchero,terraform-plan-comment,deployment,596,6.0,2,7,13,4,91,4,559,30,14,24,3,559000,1,"GitHub Action to post the output of ""terraform plan"" to a pull request comment.",TypeScript,MIT License,False,True,97.0,23,42.0,14.0,4.0,"['TypeScript', 'JavaScript', 'HCL', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
brown-ccv,alex-recommends,code review,363,16.0,12,6,3,4,28,6,1178,26,14,21,11,1178000,2,Github Action to run Alex on PRs,JavaScript,MIT License,False,True,28.0,23,26.0,3.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chf007,action-wechat-work,chat,10,3.0,3,9,16,2,36,3,863,17,3,10,2,863000,1,🚀 GitHub Action that sends a WeChat Work notification. ,JavaScript,MIT License,False,True,36.0,53,17.0,16.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrisdickinson,setup-yq,utilities,8,2.0,1,1,21,4,28,4,44,14,3,7,1,44000,0,,JavaScript,Apache License 2.0,False,True,28.0,21,14.0,21.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloudflare,pages-action,deployment,44,12.0,2,8,99,14,472,17,263,30,17,30,0,263000,2,"🛑 DEPRECATED, please use wrangler-action",JavaScript,MIT License,True,False,471.0,41,139.0,99.0,14.0,"['JavaScript', 'TypeScript', 'CSS', 'HTML', 'Shell']",1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
codfish,semantic-release-action,deployment,532,7.0,5,29,20,3,114,9,682,30,3,30,0,682000,2,The Original GitHub Action for running semantic-release. Sets output and environment variables for you to use in subsequent actions.,JavaScript,MIT License,False,False,114.0,102,211.0,20.0,3.0,"['JavaScript', 'Dockerfile']",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corymhall,cdk-diff-action,continuous integration,845,74.0,4,30,10,1,47,5,99746,30,8,30,1,99746000,2,GitHub action to post CDK diff to PR comments,TypeScript,Apache License 2.0,False,False,48.0,100,115.0,10.0,1.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crazy-max,ghaction-import-gpg,security,574,12.0,10,30,79,6,330,9,8345,30,12,30,5,8345000,2,GitHub Action to import a GPG key,TypeScript,MIT License,False,True,331.0,339,214.0,79.0,6.0,"['TypeScript', 'Dockerfile', 'HCL']",,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
crazy-max,ghaction-setup-containerd,utilities,590,5.0,8,11,1,3,18,3,5091,30,7,30,5,5091000,1,GitHub Action to set up containerd,TypeScript,MIT License,False,True,18.0,249,192.0,1.0,3.0,"['TypeScript', 'Dockerfile', 'HCL']",,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
crazy-max,ghaction-upx,deployment,577,4.0,6,16,3,3,56,5,11377,30,4,30,4,11377000,1,"GitHub Action for UPX, the Ultimate Packer for eXecutables",TypeScript,MIT License,False,True,57.0,396,259.0,3.0,3.0,"['TypeScript', 'Dockerfile', 'HCL']",,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
crazyurus,miniprogram-action,deployment,934,22.0,1,2,9,1,14,1,160,6,3,1,0,160000,2,A GitHub Action to automate deploying WeChat MiniProgram,TypeScript,GNU General Public License v3.0,False,False,15.0,13,6.0,9.0,1.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dailydotdev,action-devcard,utilities,190,2.0,4,14,15,4,98,9,12119,30,5,30,3,12119000,0,GitHub Action to download the devcard from https://daily.dev,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",False,False,98.0,209,480.0,15.0,4.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danielpalme,reportgenerator-github-action,testing,9,0.0,1,30,7,2,74,3,472,21,0,6,0,472000,0,GitHub Action for ReportGenerator,TypeScript,Apache License 2.0,False,True,74.0,124,23.0,7.0,2.0,"['TypeScript', 'PowerShell']",,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
darenm,setup-vstest,testing,33,2.0,8,5,8,2,24,4,3776,29,4,23,4,3776000,0,DEPRECATED - Set up your GitHub Actions workflow to add VSTest.console.exe into the PATH,TypeScript,MIT License,False,True,24.0,53,29.0,8.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataaxiom,ghcr-cleanup-action,container ci,67,10.0,7,16,5,1,32,6,10594,30,7,30,6,10594000,2,GitHub Container Registry Cleanup Action,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",False,True,34.0,153,87.0,5.0,1.0,"['JavaScript', 'TypeScript', 'Shell', 'Dockerfile']",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davelosert,vitest-coverage-report-action,testing,38,3.0,6,20,22,3,172,13,7034,30,10,30,1,7034000,1,A GitHub Action to report vitest test coverage results,TypeScript,MIT License,True,True,181.0,417,466.0,22.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davidb,rust-cargo-make,deployment,32,2.0,4,14,6,3,32,4,2338,30,0,30,0,2338000,0,🛠️ GitHub Action to install `cargo-make` command,TypeScript,MIT License,False,True,32.0,316,490.0,6.0,3.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dawidd6,action-ansible-playbook,deployment,11,2.0,1,18,69,5,319,10,1004,30,9,30,0,1004000,0,:gear: A GitHub Action for running Ansible playbooks,JavaScript,MIT License,False,True,321.0,156,112.0,70.0,5.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de-vri-es,setup-git-credentials,security,11,0.0,1,11,21,4,90,7,9641,30,2,13,0,9641000,0,GitHub action to enable cloning private respositories.,TypeScript,"BSD 2-Clause ""Simplified"" License",False,True,90.0,57,32.0,21.0,4.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descope,assume-aws-role-from-gcp-action,security,669,6.0,10,3,0,2,13,5,17378,30,10,30,9,17378000,1,GitHub Action to Assume AWS Role using GCP OIDC Token,TypeScript,MIT License,False,True,13.0,52,73.0,0.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessant,lock-threads,project management,35,5.0,1,12,36,10,316,3,1878,30,6,14,3,1878000,1,"GitHub Action that locks closed issues, pull requests and discussions after a period of inactivity",JavaScript,MIT License,False,False,317.0,131,47.0,36.0,10.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops-actions,json-to-file,utilities,51,3.0,2,5,13,1,12,6,1347,30,1,30,1,1347000,1,"Store json in a file, without needing to worry about escaping the string properly",TypeScript,MIT License,True,True,12.0,451,341.0,13.0,1.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhall-lang,setup-dhall,dependency management,8,6.0,1,5,7,4,15,5,56,11,3,6,0,56000,1,Github action to install a specific version of https://dhall-lang.org and run commands,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",False,True,15.0,31,11.0,7.0,4.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di-sukharev,opencommit,utilities,234,14.0,19,3,344,26,6351,30,10079,30,155,30,5,10079000,2,GPT wrapper for git — generate commit messages with an LLM in 1 sec — works best with Claude 3.5 — supports local models too,JavaScript,MIT License,False,False,6430.0,490,446.0,347.0,26.0,"['JavaScript', 'TypeScript', 'Dockerfile', 'Shell']",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dineshsonachalam,markdown-autodocs,deployment,6,0.0,17,8,17,2,186,3,8955,30,2,19,0,8955000,0,✨ A GitHub Action that automatically generates & updates markdown content (like your README.md) from external or remote files.,JavaScript,MIT License,False,True,186.0,784,33.0,17.0,2.0,"['JavaScript', 'Python', 'Dockerfile']",1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dkershner6,aws-ssm-getparameters-action,deployment,743,8.0,8,6,16,3,25,5,2214,30,6,30,4,2214000,2,"A GitHub action centered on AWS Systems Manager Parameter Store GetParameters call, and placing the results into environment variables",TypeScript,Apache License 2.0,False,False,25.0,34,183.0,16.0,3.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dkershner6,jest-coverage-commenter-action,code review,665,10.0,30,6,5,3,14,2,1029,30,29,30,19,1029000,2,Comment on PRs with Jest Test Coverage Information,TypeScript,Apache License 2.0,False,True,14.0,90,185.0,5.0,3.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dlemstra,code-sign-action,security,9,2.0,1,1,67,2,32,9,243,22,0,15,0,243000,0,Action that signs libraries with a code signing certificate. ,TypeScript,Other,False,True,32.0,103,22.0,67.0,2.0,"['TypeScript', 'Batchfile', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
docker,setup-buildx-action,container ci,709,4.0,3,30,171,17,1041,11,27403,30,13,30,0,27403000,1,GitHub Action to set up Docker Buildx,TypeScript,Apache License 2.0,True,True,1054.0,512,390.0,176.0,17.0,"['TypeScript', 'Dockerfile', 'HCL']",,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
docker-practice,actions-setup-docker,container ci,4,1.0,3,15,36,3,95,3,737,30,15,9,2,737000,0,,,,,,,118,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dorny,test-reporter,testing,134,14.0,14,15,218,15,875,30,13597,30,123,30,8,13597000,2,Displays test results from popular testing frameworks directly in GitHub,TypeScript,MIT License,False,True,887.0,494,557.0,222.0,16.0,"['TypeScript', 'C#', 'JavaScript', 'Dart']",1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
dotnet,nbgv,project management,312,3.0,7,7,8,6,53,6,19222,30,5,30,5,19222000,1,The repo behind the dotnet/nbgv GitHub Action,TypeScript,MIT License,False,True,53.0,160,151.0,8.0,6.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dromara,issues-translate-action,localization,149,20.0,12,11,28,7,196,4,978,30,11,30,6,978000,2,The action for translating Non-English issues content to English.,TypeScript,MIT License,False,True,196.0,70,90.0,30.0,7.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynatrace-oss,dynatrace-github-action,utilities,23,1.0,18,9,7,5,32,6,902,30,22,30,7,902000,0,An action that pushes metrics and events from GitHub workflows to a Dynatrace monitoring environment,TypeScript,Apache License 2.0,True,True,32.0,287,539.0,8.0,5.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editorconfig-checker,action-editorconfig-checker,utilities,32,6.0,1,6,5,9,22,7,606,30,0,30,0,606000,1,,TypeScript,MIT License,False,True,23.0,199,169.0,5.0,9.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
einaregilsson,beanstalk-deploy,deployment,0,8.0,6,20,138,4,629,12,74,30,40,30,4,74000,2,GitHub action (and command line script) to deploy apps to Elastic Beanstalk,JavaScript,MIT License,False,True,632.0,105,116.0,139.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endorlabs,github-action,security,650,7.0,15,11,2,15,45,16,8474,30,1,30,1,8474000,2,A GitHub action you can use to scan with Endor Labs,TypeScript,Apache License 2.0,False,True,45.0,64,85.0,4.0,15.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregon,publish-release,deployment,54,2.0,3,8,9,3,38,5,287,15,1,11,1,287000,0,A GitHub Action to publish a draft release,JavaScript,MIT License,False,True,38.0,23,15.0,9.0,3.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errata-ai,vale-action,testing,97,2.0,4,16,52,8,204,20,46066,30,18,30,1,46066000,0,":octocat: The official GitHub Action for Vale -- install, manage, and run Vale with ease.",TypeScript,MIT License,False,True,210.0,203,145.0,53.0,8.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercism,pr-commenter-action,code review,35,1.0,3,8,16,4,39,9,289,30,5,30,2,289000,0,The PR Commenter GitHub action posts comments on a PR that can vary depending on which files are being changed in the PR.,JavaScript,MIT License,False,False,39.0,132,69.0,16.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expo,expo-github-action,deployment,14,37.0,30,30,80,7,833,30,30076,30,43,30,6,30076000,2,Expo GitHub Action makes it easy to automate EAS builds or updates,TypeScript,MIT License,False,True,843.0,299,335.0,84.0,7.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabasoad,twilio-voice-call-action,utilities,351,2.0,1,29,2,2,16,6,18089,30,0,30,0,18089000,0,GitHub action that sends Twilio voice call.,TypeScript,MIT License,False,True,16.0,172,127.0,2.0,2.0,"['TypeScript', 'Makefile']",,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
fjogeleit,yaml-update-action,utilities,58,5.0,3,27,48,5,148,11,3978,30,6,30,2,3978000,1,Update YAML property with dynamic values,TypeScript,MIT License,False,False,148.0,854,590.0,49.0,5.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forcedotcom,run-code-analyzer,security,150,10.0,5,3,3,5,45,3,2360,30,4,30,3,2360000,2,GitHub Action to run Salesforce Code Analyzer,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",True,True,47.0,48,65.0,3.0,5.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fpicalausa,remove-stale-branches,utilities,28,3.0,7,16,11,3,20,8,2290,30,15,17,3,2290000,1,Github action to remove stale branches,TypeScript,MIT License,False,True,22.0,94,40.0,13.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frictionlessdata,frictionless-ci,code quality,5,0.0,3,2,12,10,39,8,3794,30,14,18,2,3794000,0,Data management service that brings continuous data validation to tabular data in your repository via Github Action,JavaScript,MIT License,False,False,39.0,206,56.0,12.0,10.0,"['JavaScript', 'Makefile', 'Dockerfile']",1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
fwilhe2,setup-kotlin,continuous integration,489,2.0,7,21,7,2,31,5,4708,30,2,30,2,4708000,0,Setup the Kotlin™ cli compiler in GitHub Actions,TypeScript,MIT License,False,True,31.0,255,497.0,7.0,2.0,"['TypeScript', 'Dockerfile', 'JavaScript']",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabrielfalcao,pyenv-action,dependency management,35,6.0,16,18,20,4,39,7,1999,30,22,30,13,1999000,1,Enables pyenv within your github actions workflow,TypeScript,MIT License,False,False,40.0,315,458.0,20.0,4.0,"['TypeScript', 'Makefile', 'JavaScript']",1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
gagoar,codeowners-generator,utilities,97,2.0,6,7,10,5,57,15,1449,30,12,30,4,1449000,0,CODEOWNERS solution for mono repos,TypeScript,MIT License,False,True,58.0,340,409.0,10.0,5.0,"['TypeScript', 'JavaScript', 'HTML', 'Shell']",1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
