repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
technote-space,create-pr-action,utilities,731,25.0,8,30,6,2,30,2,21063,30,5,30,4,21063000,2
test-room-7,action-update-file,utilities,53,3.0,2,17,10,3,40,6,581,24,4,12,1,581000,1
test-summary,action,testing,25,0.0,2,6,34,2,408,8,250,30,20,18,2,250000,0
the-actions-org,workflow-dispatch,utilities,161,4.0,6,5,51,3,69,11,437,24,1,24,1,437000,1
thomaseizinger,keep-a-changelog-new-release,publishing,952,27.0,6,8,38,4,57,6,369,29,2,10,0,369000,2
tibdex,backport,utilities,477,5.0,9,8,66,4,74,9,2167,30,11,30,4,2167000,1
tinovyatkin,action-php-codesniffer,code review,45,4.0,15,1,26,3,23,3,844,30,25,30,9,844000,1
tj-actions,glob,continuous integration,543,1.0,8,30,21,2,17,10,9286,30,9,30,3,9286000,0
tmcw,notfoundbot,monitoring,642,39.0,5,9,7,4,114,6,3038,30,9,30,1,3038000,2
toshimaru,auto-author-assign,project management,27,1.0,4,30,21,4,105,6,1464,30,7,30,2,1464000,0
tubone24,update_release,deployment,66,7.0,20,4,6,3,16,7,1500,30,23,30,10,1500000,2
turtlequeue,setup-babashka,container ci,569,10.0,3,9,4,3,28,3,225,24,3,16,0,225000,2
umani,changed-files,utilities,160,5.0,6,13,16,3,28,8,2003,30,2,23,1,2003000,1
usimd,pi-gen-action,publishing,52,3.0,6,8,11,3,49,4,1309,30,8,30,3,1309000,1
varunsridharan,action-github-workflow-sync,utilities,53,3.0,5,8,15,3,65,7,1082,30,10,13,1,1082000,1
vimtor,action-zip,utilities,243,26.0,1,3,33,3,89,11,50,30,10,15,0,50000,2
vio,bundle-stats-action,utilities,90,5.0,22,8,1,3,19,3,9559,30,25,30,12,9559000,1
vlaurin,action-ghcr-prune,utilities,30,1.0,8,6,9,3,47,3,652,30,9,30,7,652000,0
vn7n24fzkq,github-profile-summary-cards,utilities,143,10.0,4,30,334,16,2778,30,22122,30,29,30,2,22122000,2
volta-cli,action,utilities,4,7.0,8,30,24,3,97,13,26719,30,13,30,6,26719000,2
wangyucode,sftp-upload-action,deployment,10,0.0,1,14,23,3,59,5,1715,30,1,14,0,1715000,0
wdzeng,edge-addon,publishing,447,4.0,5,13,2,2,16,5,823,16,1,6,0,823000,1
we-cli,coverage-badge-action,testing,3,0.0,3,1,11,1,49,3,11,4,0,3,0,11000,0
wechuli,allcheckspassed,security,36,2.0,3,4,4,0,23,5,1378,30,4,30,2,1378000,0
wenkokke,setup-agda,utilities,195,9.0,11,9,3,3,26,4,16888,30,16,30,0,16888000,2
wktk,github-project-connect-action,utilities,160,8.0,9,7,2,3,14,5,1852,30,8,30,7,1852000,2
workflow,nix-shell-action,dependency management,12,1.0,7,13,10,5,43,4,1273,30,5,30,4,1273000,0
worksome,jira-branch-name-validator-action,code quality,3,2.0,2,30,1,18,13,4,104,14,1,12,0,104000,0
xavierlowmiller,xcodegen-action,mobile ci,9,0.0,2,11,6,1,13,8,1341,18,1,14,0,1341000,0
xeol-io,bumpgen,utilities,1006,12.0,19,2,5,3,110,3,283,30,9,30,3,283000,2
xmake-io,github-action-setup-xmake,utilities,445,6.0,3,7,6,4,30,6,2762,30,1,23,0,2762000,1
xt0rted,dotnet-format,code quality,186,4.0,14,4,26,4,32,4,1062,30,17,30,4,1062000,1
xt0rted,slash-command-action,chat,35,0.0,10,4,8,3,67,5,3794,30,15,30,3,3794000,0
yanamura,git-flow-merge-action,utilities,352,6.0,9,5,1,2,15,3,1347,30,7,30,5,1347000,1
yc-actions,yc-sls-container-deploy,deployment,104,2.0,7,7,9,2,30,7,27526,30,1,30,0,27526000,0
yogeshpaliyal,upload-indus-appstore,deployment,34,3.0,7,6,0,1,19,1,11410,30,10,30,6,11410000,1
yuichielectric,dive-action,container ci,42,2.0,16,4,14,2,11,3,2641,30,14,30,2,2641000,0
yuzutech,annotations-action,code review,28,3.0,2,18,16,3,37,7,180,30,11,30,1,180000,1
zentered,vercel-preview-url,utilities,26,2.0,1,21,11,2,32,7,2700,30,0,30,0,2700000,0
