repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
scribemd,docker-cache,utilities,575,20.0,4,26,28,1,105,4,50542,30,14,30,6,50542000,2
sethcohen,github-releases-to-discord,deployment,35,2.0,1,26,9,2,29,7,1232,30,1,30,0,1232000,0
simonscholz,google-chat-action,chat,38,1.0,7,2,5,2,19,2,981,30,7,30,6,981000,0
spectralops,spectral-github-action,security,12,3.0,3,5,9,3,14,8,199,15,1,10,1,199000,1
svanboxel,zaproxy-to-ghas,testing,25,4.0,2,3,4,3,16,4,326,30,6,30,2,326000,1
themrmilchmann,setup-msvc-dev,utilities,133,1.0,5,7,2,3,15,3,241025,30,1,30,1,241025000,0
timdaub,hetzner-cloud-deploy-server-action,deployment,5,3.0,1,1,14,6,33,2,92,19,7,3,0,92000,1
tinkurlab,issue-labeler-action,project management,26,0.0,4,10,2,2,12,2,1008,30,4,30,2,1008000,0
tinkurlab,monorepo-pr-labeler-action,code review,28,3.0,4,15,14,4,99,8,618,30,7,30,3,618000,1
tryghost,action-deploy-theme,deployment,420,1.0,2,14,47,14,363,15,1104,30,6,30,2,1104000,0
tyrrrz,action-http-request,utilities,9,0.0,1,1,5,2,15,2,33,9,0,9,0,33000,0
wandalen,wretry.action,deployment,16,0.0,2,30,24,4,107,8,9202,30,4,30,0,9202000,0
yockow,action-setup-swift,utilities,39,0.0,6,28,3,2,22,3,10133,30,0,30,0,10133000,0
zqzqsb,multisourcesnake,utilities,1154,25.0,1,11,0,1,25,1,2657,0,0,0,0,2657000,2
agallea,tests-coverage-report,code review,40,3.0,21,10,0,1,24,3,1340,30,7,30,4,1340000,1
abel0b,setup-premake,continuous integration,10,2.0,2,6,6,3,17,6,203,11,0,7,0,203000,0
abeyuya,actions-mention-to-slack,chat,45,3.0,12,6,21,2,58,4,9103,30,11,30,10,9103000,1
abronin,ecr-retag-action,utilities,594,10.0,1,8,8,2,28,1,2206,10,2,6,1,2206000,2
antongolub,action-setup-bun,continuous integration,176,16.0,3,30,0,3,50,2,2331,30,2,30,2,2331000,2
apexskier,github-release-commenter,utilities,614,28.0,5,30,4,3,24,3,2003,30,7,30,2,2003000,2
aquiladev,ipfs-action,deployment,396,14.0,8,29,46,3,179,4,31794,30,9,30,6,31794000,2
ardalanamini,auto-changelog,utilities,602,5.0,6,28,15,2,26,4,7842,30,8,30,5,7842000,1
arduino,arduino-lint-action,testing,92,1.0,5,4,9,10,47,9,4220,30,6,30,2,4220000,0
arduino,setup-arduino-cli,utilities,22,0.0,4,5,10,15,76,9,1073,30,2,30,1,1073000,0
ashutoshvarma,action-cmake-build,testing,5,1.0,27,1,10,2,24,3,871,30,31,30,14,871000,0
ashutoshvarma,setup-ninja,utilities,62,13.0,8,2,7,1,15,3,1846,24,12,20,9,1846000,2
aslafy-z,conventional-pr-title-action,code review,126,1.0,9,30,35,3,85,7,16446,30,0,30,0,16446000,0
astral-sh,setup-uv,utilities,107,12.0,10,30,25,4,286,14,6462,30,13,30,1,6462000,2
atalent-labs,404-links,code quality,51,0.0,3,11,2,2,18,3,11655,30,2,30,2,11655000,0
atlassian,gajira-create,project management,612,14.0,7,6,33,34,60,7,889,30,16,30,3,889000,2
auguwu,clippy-action,utilities,5,2.0,1,9,3,1,18,4,4479,30,1,30,0,4479000,0
